Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
-3.063	-1.114	-17.601	0.106	0.057	0.036	3454.000
-2.880	-0.081	-17.422	0.097	0.076	-0.036	3454.000
-1.225	-1.048	-15.490	0.103	0.076	-0.012	2662.000
-1.816	0.487	-16.420	0.106	0.035	-0.003	2233.000
-1.061	-0.311	-14.419	0.096	0.042	0.002	1835.000
-2.787	-0.246	-16.153	0.107	0.017	-0.030	1452.000
-2.871	0.237	-16.707	0.108	0.009	-0.018	1123.000
-3.506	0.247	-15.996	0.109	0.002	0.001	902.000
-4.137	-0.178	-17.162	0.110	-0.013	-0.029	716.000
-1.806	0.164	-17.081	0.108	-0.030	-0.015	534.000
-2.857	0.411	-17.418	0.110	-0.019	-0.003	333.000
-3.365	0.398	-19.078	0.124	-0.023	-0.028	225.000
2.342	1.495	-18.765	0.134	-0.059	-0.012	100.000
-5.521	-1.065	-21.852	0.126	0.022	-0.018	44.000
0.900	0.086	-20.538	0.137	0.037	-0.041	28.000
-0.804	-0.399	-22.125	0.141	0.046	-0.005	28.000
-1.416	-0.052	-21.330	0.137	0.020	-0.023	0.000
0.428	-0.066	-22.087	0.138	0.066	-0.002	27.000
-1.667	-0.129	-21.258	0.133	-0.030	0.018	70.000
-0.928	0.348	-19.468	0.125	0.125	-0.016	143.000
4.210	0.389	-19.722	0.143	0.056	0.048	278.000
-1.464	-0.665	-22.315	0.128	0.130	-0.005	466.000
3.534	0.149	-20.179	0.124	0.094	0.012	540.000
1.320	-0.227	-21.790	0.132	0.132	0.022	798.000
3.457	-0.158	-21.161	0.130	0.120	0.027	980.000
2.794	-0.180	-21.995	0.137	0.160	-0.023	980.000
2.967	-0.182	-22.098	0.140	0.151	0.067	1678.000
3.174	-0.490	-22.582	0.139	0.207	-0.018	2056.000
3.728	-0.351	-23.039	0.147	0.197	0.019	2278.000
4.106	-0.074	-22.898	0.143	0.229	0.002	2598.000
3.655	-0.293	-23.023	0.147	0.253	0.058	3212.000
5.270	0.079	-23.849	0.140	0.245	-0.028	3749.000
3.002	-0.391	-22.967	0.152	0.252	0.049	4247.000
3.629	-0.897	-22.187	0.117	0.247	-0.048	4706.000
4.853	-0.502	-22.624	0.148	0.308	0.033	5104.000
2.693	-0.290	-23.858	0.147	0.289	0.051	5214.000
4.873	-0.639	-23.431	0.140	0.346	-0.030	5714.000
